,Season,AccountNumber,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement
15667,2024,15668,2,30,2,0,97.117647,7,B,15.0,958.0,Low
15668,2024,15669,2,0,0,0,84.0,0,A,13.0,952.0,Medium
15669,2024,15670,0,0,0,1,83.0,1,G,6.0,955.0,Medium
15670,2024,15671,5,0,0,0,121.0,1,Limited Data,86.0,947.0,Medium
15671,2024,15672,0,40,0,0,159.0,4,C,1.0,795.0,Low
15672,2024,15673,0,0,10,0,46.48,1,A,9.0,899.0,High
15673,2024,15674,0,0,0,1,458.473684,0,G,2.0,881.0,High
15674,2024,15675,0,0,0,1,178.666666,7,E,4.0,459.0,Low
15675,2024,15676,0,0,8,1,290.473855,0,D,1.0,761.0,Low
15676,2024,15677,0,0,0,1,216.25,4,D,23.0,883.0,High
15677,2024,15678,0,0,0,1,64.0,6,G,6.0,539.0,High
15678,2024,15679,0,0,34,1,280.649292,22,G,8.0,925.0,Medium
15679,2024,15680,0,20,0,0,79.0,2,A,18.0,574.0,Medium
15680,2024,15681,4,0,0,0,92.69,1,Limited Data,12.0,925.0,Medium
15681,2024,15682,0,0,8,1,285.989,6,G,22.0,491.0,High
15682,2024,15683,0,0,0,1,83.0,15,G,4.0,602.0,Medium
15683,2024,15684,0,0,0,1,400.0,3,G,30.0,533.0,Medium
15684,2024,15685,0,0,0,1,359.5,1,G,8.0,646.0,High
15685,2024,15686,0,0,12,1,260.65909,15,G,7.0,512.0,Medium
15686,2024,15687,0,0,10,1,320.561086,5,C,12.0,904.0,High
15687,2024,15688,0,0,0,1,283.0,8,E,0.0,569.0,Low
15688,2024,15689,0,0,0,1,108.0,6,C,3.0,926.0,Medium
15689,2024,15690,0,0,0,1,129.0,15,G,9.0,517.0,Medium
15690,2024,15691,0,0,0,1,236.0,5,G,4.0,925.0,Medium
15691,2024,15692,0,0,0,1,240.0,9,G,7.0,512.0,Medium
15692,2024,15693,0,42,0,0,133.619047,6,G,12.0,940.0,High
15693,2024,15694,0,0,0,1,291.0,0,F,1.0,932.0,Low
15694,2024,15695,0,0,0,1,415.0,9,G,17.0,953.0,Low
15695,2024,15696,0,0,0,1,334.0,1,G,82.0,711.0,Medium
15696,2024,15697,0,0,0,1,142.651162,11,G,17.0,916.0,Medium
15697,2024,15698,0,0,0,1,266.0,20,G,9.0,944.0,Low
15698,2024,15699,0,0,0,1,155.0,2,C,17.0,573.0,High
15699,2024,15700,0,0,0,1,307.781609,0,D,1.0,926.0,High
15700,2024,15701,0,0,0,1,535.0,0,G,17.0,939.0,Low
15701,2024,15702,0,0,0,1,76.0,11,G,2.0,933.0,Low
15702,2024,15703,0,0,0,1,261.189189,0,G,2.0,914.0,Medium
15703,2024,15704,0,0,0,1,69.0,3,G,3.0,949.0,Medium
15704,2024,15705,0,0,0,1,295.071428,5,E,1.0,956.0,Medium
15705,2024,15706,0,0,0,0,195.0,0,D,10.0,282.0,High
15706,2024,15707,0,0,0,1,308.0,1,C,1.0,662.0,Low
15707,2024,15708,0,0,0,1,111.0,6,G,12.0,833.0,High
15708,2024,15709,0,0,0,1,329.0,0,G,7.0,654.0,Low
15709,2024,15710,0,0,0,1,383.0,5,G,21.0,564.0,Low
15710,2024,15711,0,0,0,1,317.0,8,G,6.0,897.0,High
15711,2024,15712,0,0,0,1,142.0,12,G,12.0,467.0,Medium
15712,2024,15713,0,0,0,1,331.0,5,G,4.0,548.0,Medium
15713,2024,15714,0,0,4,1,108.466787,3,G,47.0,562.0,Low
15714,2024,15715,0,20,0,0,320.0,4,G,15.0,335.0,Medium
15715,2024,15716,0,0,0,1,383.544,14,C,1.0,529.0,Medium
15716,2024,15717,0,0,0,1,85.0,18,G,7.0,938.0,Medium
15717,2024,15718,0,0,0,1,168.0,6,G,22.0,646.0,High
15718,2024,15719,0,0,0,1,64.0,7,G,10.0,711.0,High
15719,2024,15720,0,0,0,1,94.6,2,G,12.0,362.0,Medium
15720,2024,15721,0,0,0,1,389.0,0,G,1.0,606.0,Medium
15721,2024,15722,0,0,0,1,489.0,1,C,15.0,541.0,Low
15722,2024,15723,0,0,0,1,84.0,3,G,4.0,924.0,Medium
15723,2024,15724,0,0,0,1,59.0,10,G,47.0,879.0,Medium
15724,2024,15725,0,0,0,1,302.0,0,G,7.0,593.0,Low
15725,2024,15726,4,0,0,0,201.0,1,A,19.0,959.0,Low
15726,2024,15727,0,0,0,1,99.0,5,G,29.0,882.0,Low
15727,2024,15728,0,0,0,1,306.0,0,G,9.0,,Medium
15728,2024,15729,0,0,0,1,120.0,11,G,70.0,752.0,Medium
15729,2024,15730,0,0,0,1,248.581395,13,G,7.0,939.0,Medium
15730,2024,15731,0,0,0,1,263.0,2,G,42.0,491.0,High
15731,2024,15732,0,0,0,1,47.0,0,G,4.0,457.0,High
15732,2024,15733,0,0,0,1,266.0,2,C,6.0,826.0,High
15733,2024,15734,0,0,0,1,121.0,23,G,11.0,477.0,Medium
15734,2024,15735,0,0,0,1,285.0,0,G,10.0,,Medium
15735,2024,15736,0,0,0,1,349.0,6,G,86.0,565.0,High
15736,2024,15737,0,0,0,1,50.0,1,D,17.0,965.0,Low
15737,2024,15738,0,0,0,1,194.0,1,D,5.0,655.0,Low
15738,2024,15739,0,0,0,1,275.0,1,G,0.0,951.0,Low
15739,2024,15740,0,0,0,1,212.8,0,Limited Data,0.0,916.0,Medium
15740,2024,15741,0,0,0,1,293.712765,0,G,734.0,973.0,Medium
15741,2024,15742,0,80,0,0,125.0,0,G,19.0,920.0,Low
15742,2024,15743,0,0,0,1,138.75,0,D,26.0,926.0,Low
15743,2024,15744,0,0,12,1,77.548636,4,G,34.0,515.0,Medium
15744,2024,15745,0,0,0,1,184.0,13,G,1.0,353.0,High
15745,2024,15746,0,0,0,1,391.0,9,G,12.0,947.0,Low
15746,2024,15747,0,0,0,1,126.0,23,G,3.0,914.0,High
15747,2024,15748,0,0,2,1,201.604651,22,G,2.0,440.0,High
15748,2024,15749,0,0,0,1,164.0,0,G,1.0,485.0,Medium
15749,2024,15750,0,0,0,1,267.0,0,G,10.0,409.0,Medium
15750,2024,15751,0,0,0,1,626.0,0,G,163.0,957.0,Medium
15751,2024,15752,16,0,0,1,1171.589047,19,F,1.0,636.0,High
15752,2024,15753,0,0,0,1,21.0,11,G,10.0,525.0,Medium
15753,2024,15754,0,0,0,1,150.0,4,G,8.0,515.0,High
15754,2024,15755,0,0,0,1,281.875,3,G,3.0,960.0,Low
15755,2024,15756,0,40,0,0,50.761904,4,A,9.0,493.0,Medium
15756,2024,15757,0,0,72,1,242.782945,1,G,12.0,966.0,Medium
15757,2024,15758,0,0,8,1,92.194883,3,G,12.0,962.0,Medium
15758,2024,15759,0,0,0,1,438.0,13,D,15.0,977.0,Low
15759,2024,15760,0,0,0,1,348.0,0,F,1.0,504.0,Medium
15760,2024,15761,11,30,0,0,123.601951,7,G,3.0,456.0,Medium
15761,2024,15762,0,30,0,0,221.0,4,G,7.0,952.0,High
15762,2024,15763,0,0,0,1,476.0,4,G,14.0,934.0,High
15763,2024,15764,0,0,0,1,304.0,7,G,3.0,583.0,High
15764,2024,15765,0,0,0,1,331.0,16,E,80.0,914.0,Low
15765,2024,15766,0,40,2,0,122.142857,7,A,29.0,915.0,Low
15766,2024,15767,0,0,0,1,188.0,0,F,85.0,950.0,Low
15767,2024,15768,0,0,8,1,177.852891,7,G,4.0,593.0,Medium
15768,2024,15769,0,0,0,1,323.0,5,G,7.0,900.0,Medium
15769,2024,15770,0,0,0,1,427.0,0,G,11.0,554.0,Medium
15770,2024,15771,0,0,2,0,175.33,1,Limited Data,22.0,473.0,Medium
15771,2024,15772,0,0,0,1,148.0,7,E,2.0,471.0,Medium
15772,2024,15773,0,0,0,1,58.0,3,G,11.0,919.0,Medium
15773,2024,15774,0,0,0,1,74.309523,13,G,22.0,583.0,Low
