,Season,AccountNumber,SingleGameTickets,PartialPlanTickets,GroupTickets,STM,AvgSpend,GamesAttended,FanSegment,DistanceToArena,BasketballPropensity,SocialMediaEngagement
0,2023,1,0,0,0,0,467.0,0,F,12.0,872.0,Low
1,2023,2,2,0,0,0,116.0,1,A,47.0,485.0,Low
2,2023,3,3,0,0,0,107.0,1,B,6.0,896.0,Low
3,2023,4,0,0,3,0,27.0,1,C,3.0,467.0,High
4,2023,5,0,0,2,0,14.0,1,A,4.0,582.0,Medium
5,2023,6,0,0,4,0,76.0,1,E,178.0,529.0,Low
6,2023,7,5,0,0,0,79.0,0,A,12.0,178.0,Medium
7,2023,8,3,0,0,0,101.0,1,A,9.0,575.0,Low
8,2023,9,0,0,2,0,24.5,1,Limited Data,158.0,,Medium
9,2023,10,0,10,0,0,183.6,1,C,89.0,949.0,Medium
10,2023,11,1,0,0,0,83.0,1,C,10.0,477.0,Medium
11,2023,12,2,0,0,0,61.0,1,A,13.0,335.0,Medium
12,2023,13,6,0,0,0,75.0,1,B,68.0,433.0,Medium
13,2023,14,2,0,0,0,21.0,1,A,23.0,624.0,Medium
14,2023,15,0,0,4,0,101.0,1,B,6.0,450.0,Medium
15,2023,16,3,0,0,0,135.0,1,A,15.0,808.0,Medium
16,2023,17,3,0,0,0,66.0,1,A,10.0,903.0,High
17,2023,18,4,0,0,0,3.6000000000000014,3,A,6.0,,High
18,2023,19,0,0,2,0,29.0,0,A,66.0,450.0,Low
19,2023,20,5,0,0,0,36.0,1,A,20.0,846.0,High
20,2023,21,2,0,0,0,64.0,1,A,89.0,549.0,Medium
21,2023,22,3,0,0,0,148.0,1,A,86.0,912.0,High
22,2023,23,2,0,0,0,170.0,1,D,4.0,537.0,Medium
23,2023,24,2,0,0,0,17.0,1,A,6.0,853.0,Medium
24,2023,25,3,0,0,0,41.0,1,A,54.0,898.0,Medium
25,2023,26,0,0,5,0,40.0,1,A,74.0,389.0,High
26,2023,27,3,0,0,0,193.0,1,A,22.0,858.0,Medium
27,2023,28,2,0,0,0,67.0,1,C,4.0,601.0,Medium
28,2023,29,0,0,7,0,53.0,1,B,132.0,827.0,Medium
29,2023,30,0,0,2,0,71.0,1,D,7.0,659.0,High
30,2023,31,0,0,0,0,590.0,0,A,209.0,788.0,Medium
31,2023,32,4,0,0,0,13.0,1,D,22.0,459.0,Low
32,2023,33,3,0,0,0,112.53,1,A,48.0,406.0,Low
33,2023,34,0,0,3,0,71.0,1,B,4.0,335.0,Medium
34,2023,35,0,0,2,0,24.0,1,B,12.0,372.0,High
35,2023,36,0,0,4,0,72.0,0,A,26.0,945.0,Medium
36,2023,37,6,0,0,0,161.333333,3,E,4.0,614.0,Low
37,2023,38,0,0,2,0,76.0,1,E,12.0,424.0,Medium
38,2023,39,3,0,0,0,43.0,1,C,75.0,496.0,High
39,2023,40,2,0,0,0,49.0,1,A,58.0,920.0,Low
40,2023,41,0,0,2,0,68.0,1,A,10.0,481.0,High
41,2023,42,3,0,0,0,88.666666,1,C,1.0,521.0,High
42,2023,43,1,0,0,0,69.0,1,A,88.0,933.0,High
43,2023,44,0,0,4,0,1.0,1,A,6.0,567.0,High
44,2023,45,2,0,0,0,67.0,1,B,73.0,724.0,High
45,2023,46,2,0,0,0,78.0,1,A,17.0,867.0,Medium
46,2023,47,4,0,0,0,87.5,2,A,20.0,494.0,Medium
47,2023,48,4,0,0,0,83.0,1,A,6.0,788.0,Low
48,2023,49,3,0,0,0,76.0,1,A,151.0,874.0,Medium
49,2023,50,0,0,4,0,16.0,1,A,451.0,605.0,High
50,2023,51,4,0,0,0,74.0,1,A,10.0,435.0,High
51,2023,52,2,0,0,0,94.0,1,B,29.0,459.0,Medium
52,2023,53,2,0,0,0,23.0,0,E,75.0,489.0,High
53,2023,54,0,0,3,0,77.33333300000001,1,D,2.0,512.0,Medium
54,2023,55,0,0,0,0,46.0,0,E,10.0,834.0,Medium
55,2023,56,0,50,0,0,129.0,8,F,33.0,299.0,Low
56,2023,57,2,0,0,0,191.0,1,A,28.0,959.0,Medium
57,2023,58,0,0,15,0,52.0,1,E,8.0,680.0,Medium
58,2023,59,0,0,2,0,21.0,1,B,22.0,580.0,Medium
59,2023,60,2,0,0,0,79.0,0,D,17.0,531.0,Low
60,2023,61,3,0,0,0,99.0,1,D,73.0,370.0,Medium
61,2023,62,3,0,0,0,25.0,1,A,22.0,380.0,Medium
62,2023,63,2,0,0,0,8.0,1,B,6.0,947.0,High
63,2023,64,0,0,4,0,79.0,1,B,4.0,873.0,High
64,2023,65,2,0,0,0,360.0,1,C,42.0,328.0,Medium
65,2023,66,8,0,0,0,92.0,1,A,2.0,347.0,Low
66,2023,67,2,0,0,0,95.0,1,D,6.0,636.0,Medium
67,2023,68,4,0,0,0,129.25,1,E,2.0,893.0,Medium
68,2023,69,2,0,0,0,188.0,1,A,27.0,924.0,High
69,2023,70,0,0,5,0,81.0,0,E,0.0,917.0,Low
70,2023,71,0,0,2,0,112.0,1,Limited Data,,,Medium
71,2023,72,3,0,0,0,48.0,1,A,6.0,918.0,Medium
72,2023,73,0,0,2,0,26.0,1,D,9.0,739.0,Medium
73,2023,74,0,0,2,0,11.0,1,A,6.0,331.0,Medium
74,2023,75,2,0,0,0,132.0,1,B,169.0,630.0,Medium
75,2023,76,4,0,0,0,86.0,1,A,34.0,506.0,Medium
76,2023,77,0,0,0,0,8.0,1,D,2.0,501.0,Medium
77,2023,78,0,0,6,0,81.0,1,A,81.0,544.0,Medium
78,2023,79,2,0,0,0,75.0,0,E,2.0,525.0,Medium
79,2023,80,0,0,5,0,86.0,1,A,132.0,509.0,Low
80,2023,81,4,0,0,0,41.0,1,D,7.0,283.0,Medium
81,2023,82,3,0,0,0,54.0,1,B,32.0,806.0,High
82,2023,83,2,0,0,0,188.0,1,A,673.0,909.0,High
83,2023,84,1,0,0,0,44.0,1,A,10.0,724.0,Medium
84,2023,85,3,0,0,0,33.0,1,Limited Data,65.0,493.0,High
85,2023,86,10,0,0,0,111.0,1,F,102.0,780.0,High
86,2023,87,2,0,0,0,118.0,0,B,7.0,868.0,High
87,2023,88,0,0,2,0,44.0,1,A,9.0,660.0,High
88,2023,89,0,0,2,0,120.0,1,C,8.0,198.0,High
89,2023,90,2,0,0,0,73.0,1,B,5.0,707.0,High
90,2023,91,6,0,0,0,5.0,1,A,55.0,342.0,Medium
91,2023,92,0,0,4,0,36.5,1,A,15.0,897.0,High
92,2023,93,2,0,0,0,12.0,1,C,10.0,423.0,Medium
93,2023,94,0,0,40,0,65.0,1,A,91.0,950.0,Low
94,2023,95,2,0,0,0,136.64,1,A,6.0,481.0,High
95,2023,96,0,0,4,0,15.0,2,B,15.0,862.0,Low
96,2023,97,3,0,0,0,80.0,1,C,30.0,542.0,Medium
97,2023,98,1,0,0,0,181.0,1,A,19.0,517.0,Medium
98,2023,99,5,0,4,0,57.888888,2,A,17.0,384.0,Low
99,2023,100,0,0,4,0,28.0,1,B,20.0,293.0,High
100,2023,101,3,0,0,0,181.0,1,A,7.0,807.0,Medium
101,2023,102,2,0,0,0,8.030000000000001,1,C,633.0,852.0,High
102,2023,103,0,0,2,0,10.0,1,A,15.0,269.0,Medium
103,2023,104,1,0,0,0,49.0,1,A,79.0,945.0,Medium
104,2023,105,0,0,2,0,55.5,1,A,6.0,249.0,Low
105,2023,106,4,0,0,0,4.0,1,E,2.0,607.0,Medium
106,2023,107,0,0,4,0,56.0,1,B,4.0,287.0,Low
107,2023,108,0,0,12,0,151.0,1,B,11.0,633.0,Low
108,2023,109,2,0,0,0,60.0,1,B,454.0,937.0,Medium
109,2023,110,0,0,5,0,13.0,0,B,4.0,594.0,Medium
110,2023,111,0,0,0,0,273.0,2,Limited Data,35.0,472.0,Medium
111,2023,112,1,0,0,0,244.0,1,G,12.0,543.0,Medium
112,2023,113,2,0,0,0,194.06,1,Limited Data,8.0,628.0,Medium
113,2023,114,0,20,0,0,63.900000000000006,5,A,10.0,421.0,Medium
114,2023,115,2,0,0,0,80.0,1,A,11.0,923.0,Low
115,2023,116,0,0,2,0,29.0,0,A,45.0,904.0,Low
116,2023,117,0,0,2,0,79.0,1,E,15.0,489.0,High
117,2023,118,2,0,0,0,195.0,1,B,92.0,335.0,Medium
118,2023,119,4,0,0,0,108.0,1,A,8.0,887.0,Low
119,2023,120,8,0,0,0,124.375,1,A,3.0,248.0,High
120,2023,121,3,0,0,0,41.0,1,B,5.0,553.0,Medium
121,2023,122,2,0,0,0,29.97,1,A,4.0,556.0,Medium
122,2023,123,3,0,0,0,56.0,1,A,6.0,637.0,High
123,2023,124,0,0,3,0,80.0,1,D,19.0,905.0,Medium
124,2023,125,0,0,0,0,26.0,0,C,6.0,949.0,Medium
125,2023,126,2,0,0,0,15.0,1,E,4.0,917.0,Low
126,2023,127,0,0,12,0,57.0,1,A,9.0,924.0,High
127,2023,128,0,0,2,0,1.0,1,A,9.0,590.0,Low
128,2023,129,0,0,4,0,33.0,1,D,79.0,909.0,Medium
129,2023,130,1,0,0,0,153.0,1,F,9.0,952.0,Medium
130,2023,131,4,0,0,0,76.0,1,E,1.0,619.0,High
131,2023,132,1,0,0,0,15.0,1,Limited Data,,,Low
